Location,Category,Sub-Category,Land Size(M2),Building Size(M2),Bedrooms,Bathrooms,Longitude,Latitude,Price(Php)
"Malabag, Silang",Land,"Land,residential-lot",300.0,287.6,4.3999999999999995,3.6,120.968782,14.143115,2250000.0
"Tabuc Suba, Iloilo",House,"House,single-family-house",500.0,450.0,4.0,4.0,122.559096,10.731185,32000000.0
"Santolan, Pasig",Condominium,"Condominium,single-bedroom",22.60000000000008,18.0,1.0,1.0,121.087967,14.613073,1800000.0
"Magliman, San Fernando",Land,"Land,residential-lot",120.0,98.0,3.8,2.4,120.691918,15.4043,1712000.0
"Rosario, Pasig",Condominium,"Condominium,double-bedroom",57.40000000000009,35.870000000000005,2.0,1.0,121.089097,14.588464,5498041.0
"Buli, Muntinlupa",Condominium,"Condominium,double-bedroom",94.19999999999993,53.0,2.0,2.0,121.049993,14.443527,4800000.0
"Alabang, Muntinlupa",House,"House,single-family-house",467.0,414.0,3.0,4.0,121.037608,14.4179774,65000000.0
"Alabang, Muntinlupa",House,"House,single-family-house",467.0,414.0,3.0,5.0,121.037608,14.4179774,65000000.0
"Western Bicutan, Taguig",Land,"Land,commercial-lot",1215.5,728.0,7.0,7.199999999999999,121.036376,14.517219,110503536.64125
"Mabini, Lipa",House,"House,single-family-house",182.36,139.4,4.0,3.0,121.155483,13.895805,10029864.0
"Mabini, Lipa",House,"House,single-family-house",186.58,129.8,4.0,3.0,121.155483,13.895805,9691680.0
"Bel-Air, Makati",Land,"Land,residential-lot",512.0,648.0,5.4,5.4,121.026342,14.563933,110503536.64125
"Mabini, Lipa",House,"House,single-family-house",182.39000000000001,114.98,3.0,2.0,121.155483,13.895805,8712752.0
"Alabang, Muntinlupa",House,"House,single-family-house",350.0,391.0,3.0,5.0,121.037608,14.4179774,55000000.0
"Alabang, Muntinlupa",House,"House,single-family-house",350.0,391.0,3.0,5.0,121.037608,14.4179774,55000000.0
Sablan,Land,"Land,commercial-lot",1215.5,728.0,7.0,7.199999999999999,120.514961,16.5020711,27000000.0
"Concepcion Dos, Marikina",House,"House,single-family-house",264.0,360.0,5.0,4.0,121.119734,14.640389,16500000.0
"Looc, Lapu-Lapu",Commercial,"Commercial,retail",1000.0,2.842170943040401e-14,2.1999999999999997,1.4000000000000001,123.942064,10.300215,50000000.0
