Location,Category,Sub-Category,Land Size(M2),Building Size(M2),Bedrooms,Bathrooms,Longitude,Latitude,Price(Php)
"Rockwell, Makati",Condominium,"Condominium,3-bedroom",165.79999999999998,224.0,3.0,3.0,121.036339,14.562949,73920000.0
"Rockwell, Makati",Condominium,"Condominium,3-bedroom",165.79999999999998,224.0,3.0,3.0,121.036339,14.562949,73920000.0
"Catarman, Liloan",House,"House,single-family-house",100.0,127.0,4.0,3.0,124.011254,10.3823871,10314000.0
"Subangdaku, Mandaue",Condominium,"Condominium,single-bedroom",82.0,57.0,1.0,1.0,123.920694,10.327871,7518000.0
"Subangdaku, Mandaue",Condominium,"Condominium,studio",67.19999999999993,34.0,1.0,1.0,123.920694,10.327871,4602000.0
"Catarman, Liloan",House,"House,single-family-house",120.0,155.0,4.0,3.0,124.011254,10.3823871,11994000.0
"B.F. Homes, Paranaque",House,"House,single-family-house",650.0,735.0,7.0,8.0,121.0245799,14.4521766,59000000.0
"B.F. Homes, Paranaque",House,"House,single-family-house",233.0,260.0,4.0,4.0,121.0245799,14.4521766,26800000.0
"Talon Dos, Las Pinas",House,"House,townhouse",174.0,248.0,4.0,4.0,120.985214,14.438526,15700000.0
"B.F. Homes, Paranaque",House,"House,single-family-house",280.0,320.0,5.0,4.0,121.0245799,14.4521766,19500000.0
"B.F. Homes, Paranaque",House,"House,single-family-house",293.0,230.0,3.0,2.0,121.0245799,14.4521766,15500000.0
"Fort Bonifacio, Taguig",Land,"Land,residential-lot",188.0,275.0,4.2,3.8,121.050318,14.540867,63000000.0
"Ayala Alabang, Muntinlupa",House,"House,single-family-house",762.0,735.0,5.0,4.5,121.022321,14.405874,110503536.64125
"Ayala Alabang, Muntinlupa",House,"House,single-family-house",762.0,735.0,5.0,4.5,121.022321,14.405874,110503536.64125
"Guadalupe Viejo, Makati",Condominium,"Condominium,penthouse-1",64.39999999999998,58.0,2.0,1.0,121.040676,14.564421,8000000.0
"Ayala Alabang, Muntinlupa",House,"House,single-family-house",784.0,735.0,7.0,8.5,121.022321,14.405874,110503536.64125
"Ayala Alabang, Muntinlupa",House,"House,single-family-house",784.0,735.0,7.0,8.5,121.022321,14.405874,110503536.64125
"Matandang Balara, Quezon City",House,"House,single-family-house",510.0,735.0,6.0,6.0,121.082236,14.665648,110503536.64125
"Poblacion, Compostela",Land,"Land,beach-lot",1014.0,588.0,4.3999999999999995,4.8,124.006382,10.4489364,21000000.0
"Talon Dos, Las Pinas",House,"House,single-family-house",160.99999999999997,241.0,3.0,3.0,120.985214,14.438526,15300000.0
"Merville, Paranaque",House,"House,single-family-house",302.5,300.0,4.0,3.0,121.025633,14.499387,33000000.0
"Don Bosco, Paranaque",House,"House,townhouse",50.0,50.0,2.0,2.0,121.024909,14.482705,4150000.0
"Almanza Uno, Las Pinas",House,"House,townhouse",102.0,108.0,3.0,3.0,121.0140532,14.4324914,9800000.0
"Mambugan, Antipolo",House,"House,single-family-house",1215.5,735.0,7.0,8.5,121.157573,14.58843,110503536.64125
"Taft, Manila",Condominium,"Condominium,double-bedroom",60.599999999999966,57.0,2.0,1.0,120.9932061,14.5667099,8800000.0
"Bagong Nayon, Antipolo",Land,"Land,residential-lot",389.0,448.0,4.0,3.6,121.210775,14.705728,8752500.0
"Kamuning, Quezon City",Condominium,"Condominium,single-bedroom",43.60000000000002,24.0,1.0,1.0,121.0428037,14.63507797,6900000.0
"Barangay 24, Cagayan de Oro",Condominium,"Condominium,studio",22.60000000000008,22.400000000000006,1.0,1.0,124.648541,8.480919,2828000.0
"San Sebastian, Kawit",Land,"Land,residential-lot",155.0,210.6,3.8,3.4,120.8900983,14.4012863,3300000.0
"Tejero, General Trias",Land,"Land,residential-lot",280.0,498.20000000000005,4.199999999999999,4.2,120.866631,14.400861,16277000.0
"Ugong, Pasig",Commercial,"Commercial,offices",5.684341886080802e-14,100.0,2.8,2.0,121.072573,14.582943,27000000.0
"Matandang Balara, Quezon City",House,"House,single-family-house",510.0,735.0,6.0,6.0,121.082236,14.665648,110503536.64125
"Matandang Balara, Quezon City",House,"House,single-family-house",510.0,735.0,6.0,6.0,121.082236,14.665648,110503536.64125
"Matandang Balara, Quezon City",House,"House,single-family-house",510.0,735.0,6.0,6.0,121.082236,14.665648,110503536.64125
"B.F. Homes, Paranaque",Land,"Land,residential-lot",299.0,389.6,5.2,4.2,121.0245799,14.4521766,13000000.0
"Quinawan, Bagac",Land,"Land,beach-lot",200.0,410.0,4.0,3.8000000000000003,120.401049,14.486211,2700000.0
"San Juan, Antipolo",House,"House,single-family-house",1215.5,735.0,7.0,8.5,121.254587,14.721661,10000000.0
"San Juan, Antipolo",House,"House,single-family-house",1215.5,735.0,7.0,8.5,121.254587,14.721661,10000000.0
"San Juan, Antipolo",House,"House,single-family-house",1215.5,735.0,7.0,8.5,121.254587,14.721661,10000000.0
"San Juan, Antipolo",House,"House,single-family-house",1215.5,735.0,7.0,8.5,121.254587,14.721661,10000000.0
"Marcelo Green Village, Paranaque",House,"House,single-family-house",286.0,399.0,4.0,5.0,121.04211,14.469863,36000000.0
General Mariano Alvarez,House,"House,single-family-house",100.0,77.25,3.0,2.0,121.3921287,14.3040757,3086000.0
General Mariano Alvarez,House,"House,single-family-house",58.5,44.5,2.0,1.0,121.3921287,14.3040757,1838000.0
"San Isidro, Cainta",Condominium,"Condominium,studio",22.60000000000008,21.379999999999995,1.0,1.0,121.118502,14.613156,2464000.0
"Merville, Paranaque",House,"House,single-family-house",269.0,446.0,4.0,5.0,121.025633,14.499387,48000000.0
"Kapitolyo, Pasig",House,"House,single-family-house",174.0,278.0,2.0,2.0,121.060157,14.569208,38000000.0
"Camaya, Mariveles",Land,"Land,residential-lot",180.99999999999997,227.6,4.2,4.0,120.4846583,14.4520962,2300000.0
"Chino Roces, Makati",Condominium,"Condominium,double-bedroom",41.599999999999966,91.0,2.0,2.0,121.0172448,14.54272498,21819000.0
"Bungahan, Binan",Land,"Land,commercial-lot",1215.5,728.0,7.0,7.199999999999999,121.0836934,14.3034727,94173000.0
"Chino Roces, Makati",Condominium,"Condominium,3-bedroom",92.79999999999995,152.5,3.0,3.0,121.0172448,14.54272498,33045000.0
"Pasadena, San Juan",House,"House,townhouse",57.46999999999997,183.0,3.0,3.0,121.0340764,14.6087952,25705000.0
"Ermita, Manila",Condominium,"Condominium,single-bedroom",82.0,55.0,1.0,1.0,120.9825154,14.5860743,9000000.0
"Ermita, Manila",Condominium,"Condominium,double-bedroom",42.39999999999998,55.0,2.0,1.0,120.9825154,14.5860743,7000000.0
"Pilar, Las Pinas",House,"House,townhouse",83.93,190.0,4.0,3.0,121.0080137,14.417168,9757000.0
"San Rafael, Pasay",Condominium,"Condominium,3-bedroom",109.60000000000002,75.0,3.0,2.0,120.996099,14.556375,12600000.0
"Guadalupe Viejo, Makati",Condominium,"Condominium,double-bedroom",60.599999999999966,57.0,2.0,1.0,121.040676,14.564421,8600000.0
"Ermita, Manila",Condominium,"Condominium,double-bedroom",42.39999999999998,55.0,2.0,1.0,120.9825154,14.5860743,9450000.0
"Pilar, Las Pinas",House,"House,townhouse",86.0,92.0,3.0,3.0,121.0080137,14.417168,5880000.0
"Calabnugan, Sibulan",House,"House,single-family-house",630.0,160.0,2.0,2.0,123.2558703,9.3481312,6955000.0
"Pasong Tamo, Quezon City",House,"House,townhouse",128.0,172.0,3.0,3.0,121.059136,14.682138,17000000.0
"Boni Avenue, Mandaluyong",Condominium,"Condominium,3-bedroom",47.0,39.0,3.0,2.0,121.041386,14.575547,2855000.0
"Rockwell, Makati",Condominium,"Condominium,double-bedroom",36.0,80.0,2.0,2.0,121.036339,14.562949,22400000.0
"Biaan, Mariveles",Land,"Land,beach-lot",180.0,2.842170943040401e-14,2.1999999999999997,1.4000000000000001,120.430798,14.479653,1980000.0
"Almanza Uno, Las Pinas",House,"House,townhouse",80.0,190.0,5.0,3.0,121.0140532,14.4324914,9288000.0
"Capalasanan, Lazi",Land,"Land,residential-lot",144.0,192.0,3.4,2.6,123.621042,9.16141,822000.0
"Oranbo, Pasig",Condominium,"Condominium,3-bedroom",106.68,122.0,3.0,4.0,121.064324,14.575822,29166000.0
"Diliman, Quezon City",Land,"Land,commercial-lot",357.0,333.8,4.0,4.0,121.0528,14.6462,30345000.0
"Diliman, Quezon City",Land,"Land,commercial-lot",567.8,688.0,5.6,5.6000000000000005,121.0528,14.6462,48263000.0
"Sapangbato, Angeles",Condominium,"Condominium,3-bedroom",65.40000000000003,155.0,3.0,4.0,120.502524,15.143396,9800000.0
"Nasipit, Barili",House,"House,single-family-house",53.0,24.0,1.0,1.0,123.541405,10.11146,1150000.0
"Biaan, Mariveles",Land,"Land,beach-lot",180.0,2.842170943040401e-14,2.1999999999999997,1.4000000000000001,120.430798,14.479653,1980900.0
"Biaan, Mariveles",Land,"Land,beach-lot",180.0,2.842170943040401e-14,2.1999999999999997,1.4000000000000001,120.430798,14.479653,1980900.0
"Telabastagan, San Fernando",Condominium,"Condominium,double-bedroom",57.19999999999999,67.0,2.0,2.0,120.635072,15.10712,13675500.0
"Poblacion, Makati",Land,"Land,commercial-lot",319.0,429.0,4.6,4.6,121.032076,14.56568,110503536.64125
"Molino IV, Bacoor",House,"House,single-family-house",200.0,337.0,5.0,5.0,120.9943658,14.3810075,40000000.0
"Clark, Mabalacat",Land,"Land,residential-lot",120.0,98.0,3.8,2.4,120.5481302,15.1879402,1898800.0
"Bel-Air, Makati",Condominium,"Condominium,penthouse-1",92.79999999999995,155.15,3.0,3.0,121.0189296,14.56007882,20000000.0
"Cutcut, Angeles",House,"House,single-family-house",528.0,605.0,4.0,3.0,120.60262,15.122625,37000000.0
"Carsadang Bago II, Imus",House,"House,single-family-house",100.0,80.0,3.0,3.0,120.920825,14.418479,6088471.49
"Ibayo Silangan, Naic",Commercial,"Commercial,building",176.0,176.0,3.4,2.4,120.773921,14.32128,12000000.0
"Molino IV, Bacoor",House,"House,single-family-house",110.0,65.0,3.0,2.0,120.987282,14.368869,6492803.4
"Molino IV, Bacoor",House,"House,single-family-house",110.0,85.0,4.0,2.0,120.9943658,14.3810075,7576200.0
"Ampid I, San Mateo",House,"House,townhouse",93.5,136.0,3.0,2.0,121.121566,14.681735,7500000.0
"San Roque, Antipolo",House,"House,townhouse",98.0,166.0,3.0,3.0,121.176937,14.571435,8000000.0
"San Roque, Antipolo",House,"House,townhouse",52.0,83.0,3.0,2.0,121.176937,14.571435,5000000.0
"Fort Bonifacio, Taguig",Condominium,"Condominium,3-bedroom",222.99999999999997,300.0,3.0,4.0,121.050318,14.540867,110503536.64125
"Balingasa, Quezon City",Condominium,"Condominium,double-bedroom",54.19999999999999,48.0,2.0,1.0,121.000537,14.653102,5800000.0
"Tamiao, Compostela",House,"House,single-family-house",124.0,80.0,4.0,3.0,123.994411,10.44226,7200000.0
"Basak, Lapu-Lapu",Land,"Land,residential-lot",236.0,407.57,4.8,4.8,123.964519,10.291595,2800000.0
"Pusok, Lapu-Lapu",Land,"Land,residential-lot",150.0,192.4,4.0,4.0,123.9695345,10.3222561,6150000.0
"Cupang, Muntinlupa",House,"House,single-family-house",405.0,350.0,4.0,4.0,121.040194,14.434669,52000000.0
"Dalig, Teresa",House,"House,single-family-house",90.0,40.0,2.0,1.0,121.208606,14.56318,4141500.0
"San Juan, Taytay",Land,"Land,residential-lot",350.0,391.0,3.0,5.0,121.123722,14.551401,15452000.0
"Fort Bonifacio, Taguig",Condominium,"Condominium,loft-1",82.0,58.0,1.0,1.0,121.050318,14.540867,18000000.0
"Canlubang, Calamba",Land,"Land,residential-lot",1215.5,728.0,7.0,7.199999999999999,121.0533622,14.1857173,36450000.0
"Paligawan, Silang",Land,"Land,residential-lot",150.0,192.4,4.0,4.0,120.981683,14.174665,870000.0
"Poblacion, Makati",Condominium,"Condominium,double-bedroom",42.200000000000045,106.0,2.0,3.0,121.032076,14.56568,29173122.0
"Cuayan, Angeles",House,"House,single-family-house",180.0,230.0,4.0,4.0,120.579214,15.13943,9800000.0
"Shaw Boulevard, Mandaluyong",Condominium,"Condominium,3-bedroom",102.19999999999999,48.0,3.0,2.0,121.053604,14.581224,3685000.0
"Shaw Boulevard, Mandaluyong",Condominium,"Condominium,3-bedroom",47.0,39.0,3.0,2.0,121.053604,14.581224,2855000.0
"San Roque, Angono",Land,"Land,residential-lot",204.0,321.2,3.5999999999999996,2.8,121.171758,14.545476,2345600.0
"San Roque, Antipolo",House,"House,single-family-house",91.0,54.0,3.0,2.0,121.176937,14.571435,3869100.0
"Western Bicutan, Taguig",House,"House,townhouse",200.0,410.0,4.0,4.0,121.036376,14.517219,48800000.0
"Santo Domingo, Santa Rosa",Land,"Land,residential-lot",644.0,627.8,6.0,6.5,121.0661417,14.2444071,22218000.0
"Don Jose, Santa Rosa",Land,"Land,residential-lot",930.0,524.0,4.0,4.2,121.2806081,14.2984883,24180000.0
"Don Benito, Pozorrubio",Land,"Land,agricutural-lot",1215.5,728.0,7.0,7.199999999999999,120.497619,16.14233,4928000.0
"San Jose, San Fernando",Condominium,"Condominium,3-bedroom",85.80000000000001,136.72,3.0,3.0,120.728016,15.4201,22729700.0
"B.F. Homes, Paranaque",House,"House,single-family-house",216.99999999999997,300.0,4.0,4.0,121.0245799,14.4521766,25800000.0
"New Manila, Quezon City",House,"House,townhouse",245.0,735.0,5.0,5.0,121.0306,14.61633,105000000.0
"Banawang, Bagac",Land,"Land,residential-lot",366.0,648.0,4.6,5.7,120.383001,14.616026,7500000.0
"Fort Bonifacio, Taguig",Condominium,"Condominium,single-bedroom",26.80000000000001,66.0,1.0,1.0,121.050318,14.540867,10400000.0
"Highway Hills, Mandaluyong",Condominium,"Condominium,single-bedroom",22.60000000000008,22.599999999999994,1.0,1.0,121.052143,14.578255,6300000.0
"Alabang, Muntinlupa",Condominium,"Condominium,single-bedroom",72.0,37.0,1.0,1.0,121.04612,14.412884,6031000.0
"Palanan, Makati",Commercial,"Commercial,building",384.0,735.0,7.0,8.500000000000002,121.003404,14.55953,110503536.64125
"Pantoc, Zaragoza",Land,"Land,agricutural-lot",1215.5,728.0,7.0,7.199999999999999,120.820813,15.448991,20320800.0
"Asisan, Tagaytay",House,"House,single-family-house",371.0,670.0,0.0,0.0,120.9057104,14.0984134,18000000.0
"Kaybagal South, Tagaytay",House,"House,single-family-house",425.0,250.0,0.0,0.0,120.9331771,14.0937467,30000000.0
"Addition Hills, Mandaluyong",Condominium,"Condominium,double-bedroom",192.2,65.66,2.0,2.0,121.038526,14.59383,11481267.32
"Manggahan, Pasig",Condominium,"Condominium,double-bedroom",45.799999999999955,92.0,2.0,3.0,121.093698,14.601887,24000000.0
"White Plains, Quezon City",Land,"Land,residential-lot",576.0,586.32,4.199999999999999,4.0,121.0711795,14.6060344,70000000.0
"Sicsican, Puerto Princesa",House,"House,single-family-house",88.0,46.0,2.0,1.0,118.717542,9.799906,4890000.0
"Pinagbuhatan, Pasig",House,"House,single-family-house",244.0,50.0,6.0,6.0,121.0977,14.549724,38000000.0
"Ugong, Pasig",Condominium,"Condominium,double-bedroom",42.200000000000045,106.0,2.0,3.0,121.072573,14.582943,22000000.0
"Alulod, Indang",Land,"Land,agricutural-lot",1215.5,728.0,7.0,7.199999999999999,120.885655,14.220971,12000000.0
"Camp 7, Baguio",House,"House,single-family-house",77.0,120.0,3.0,2.0,120.600513,16.381866,7000000.0
"San Antonio, Makati",Condominium,"Condominium,double-bedroom",45.19999999999999,74.0,2.0,2.0,121.009139,14.563865,19000000.0
"Balatong A, Pulilan",Apartment,"Apartment,apartments",745.0999999999999,735.0,7.0,8.5,120.8485364,14.931941,17500000.0
"Poblacion, Muntinlupa",Land,"Land,commercial-lot",1215.5,728.0,7.0,7.199999999999999,121.029033,14.385411,110503536.64125
"Vergara, Mandaluyong",Condominium,"Condominium,single-bedroom",60.799999999999955,30.80000000000001,1.0,1.0,121.024192,14.576533,3700000.0
"Yapak, Malay",Condominium,"Condominium,single-bedroom",72.0,40.0,1.0,1.0,121.9199735,11.98503498,9380000.0
"Western Bicutan, Taguig",Condominium,"Condominium,single-bedroom",26.80000000000001,68.0,1.0,1.0,121.036376,14.517219,19925000.0
"Canlubang, Calamba",Land,"Land,residential-lot",698.0,460.4,4.4,4.5,121.0533622,14.1857173,23383000.0
"Fort Bonifacio, Taguig",Condominium,"Condominium,3-bedroom",72.19999999999999,89.0,3.0,3.0,121.050318,14.540867,23000000.0
"Makati Avenue, Makati",Condominium,"Condominium,single-bedroom",26.80000000000001,66.19,1.0,1.0,121.0271,14.55973,18000000.0
"Tubod, Minglanilla",House,"House,single-family-house",80.0,113.0,4.0,3.0,123.8027876,10.2701876,6563300.0
"Tubod, Minglanilla",House,"House,single-family-house",160.0,209.0,5.0,4.0,123.8027876,10.2701876,12857100.0
"Kapitolyo, Pasig",Commercial,"Commercial,building",349.0,735.0,7.0,8.500000000000002,121.060157,14.569208,110503536.64125
"Legazpi Village, Makati",Condominium,"Condominium,single-bedroom",61.0,54.0,1.0,1.2,121.017742,14.554848,8300000.0
"B.F. Homes, Paranaque",House,"House,single-family-house",233.0,260.0,4.0,4.0,121.0245799,14.4521766,26800000.0
"Salcedo Village, Makati",Condominium,"Condominium,4-bedroom",232.0,224.0,4.0,4.0,121.0206028,14.5596699,46000000.0
"B.F. Homes, Paranaque",House,"House,single-family-house",650.0,735.0,7.0,8.0,121.0245799,14.4521766,59000000.0
"B.F. Homes, Paranaque",House,"House,single-family-house",540.0,420.0,5.0,5.0,121.0245799,14.4521766,45000000.0
"Laiya-Ibabao, San Juan",Land,"Land,agricutural-lot",1215.5,728.0,7.0,7.199999999999999,121.422891,13.673186,110503536.64125
"Eastwood City, Quezon City",Condominium,"Condominium,single-bedroom",72.0,36.0,1.0,1.0,121.0794206,14.60786335,5800000.0
"Pilar, Las Pinas",House,"House,townhouse",124.0,257.0,3.0,3.0,121.0080137,14.417168,13800000.0
"Clark, Mabalacat",Condominium,"Condominium,3-bedroom",163.89399999999995,187.0,3.0,3.0,120.5481302,15.1879402,33600000.0
"Clark, Mabalacat",Condominium,"Condominium,double-bedroom",53.200000000000045,128.0,2.0,2.0,120.5481302,15.1879402,22900000.0
"Fort Bonifacio, Taguig",Condominium,"Condominium,4-bedroom",81.67999999999995,277.0,4.0,4.0,121.050318,14.540867,110503536.64125
"Fort Bonifacio, Taguig",Condominium,"Condominium,4-bedroom",81.67999999999995,277.0,4.0,4.0,121.050318,14.540867,110503536.64125
"Fort Bonifacio, Taguig",Condominium,"Condominium,4-bedroom",81.67999999999995,277.0,4.0,4.0,121.050318,14.540867,110503536.64125
Antipolo,House,"House,single-family-house",1215.5,735.0,5.0,5.0,121.1976151,14.6179598,110503536.64125
"Ayala Alabang, Muntinlupa",House,"House,single-family-house",570.0,735.0,7.0,7.0,121.022321,14.405874,110503536.64125
"Buck Estate, Alfonso",Land,"Land,residential-lot",300.0,287.6,4.3999999999999995,3.6,120.8527969,14.0892003,3900000.0
"Kapitolyo, Pasig",House,"House,townhouse",145.0,400.0,3.0,3.0,121.060157,14.569208,44500000.0
"Santo Domingo, Cainta",Condominium,"Condominium,single-bedroom",22.60000000000008,22.0,1.0,1.0,121.111893,14.58886,2200000.0
"Fort Bonifacio, Taguig",Condominium,"Condominium,3-bedroom",89.39999999999998,97.53999999999999,3.0,2.0,121.050318,14.540867,27000000.0
"Putatan, Muntinlupa",Land,"Land,residential-lot",1215.5,728.0,7.0,7.199999999999999,121.036376,14.398367,26010000.0
"Punta Engano, Lapu-Lapu",Condominium,"Condominium,single-bedroom",71.99999999999994,41.0,1.0,1.0,124.0350832,10.3231218,9990604.0
"Barangay VI, Coron",Land,"Land,residential-lot",232.0,2.842170943040401e-14,2.6,1.7999999999999998,120.2589828,12.2751937,3200000.0
"Looc, Loon",Commercial,"Commercial,building",1215.5,2.842170943040401e-14,2.1999999999999997,1.4000000000000001,124.2088461,9.8998369,110503536.64125
"Fort Bonifacio, Taguig",Condominium,"Condominium,single-bedroom",82.0,54.0,1.0,1.0,121.050318,14.540867,9000000.0
"B.F. Homes, Paranaque",House,"House,single-family-house",325.0,325.0,5.0,5.0,121.0245799,14.4521766,35250000.0
"Project 4, Quezon City",House,"House,single-family-house",367.5,300.0,7.0,8.5,121.0708,14.62078,40000000.0
"San Isidro, Antipolo",House,"House,single-family-house",70.0,61.0,2.0,1.0,121.186609,14.59242,4688000.0
"Biaan, Mariveles",Land,"Land,beach-lot",180.0,147.6,4.0,3.4,120.430798,14.479653,2790000.0
"Alabang, Muntinlupa",Condominium,"Condominium,studio",22.60000000000008,15.650000000000006,1.0,1.0,121.0407681,14.42576972,2766520.5
"Bignay, Valenzuela",House,"House,townhouse",50.0,36.0,2.0,1.0,120.996235,14.745664,3189000.0
"Oranbo, Pasig",Condominium,"Condominium,double-bedroom",8.600000000000023,80.0,2.0,3.0,121.064324,14.575822,15000000.0
"Oranbo, Pasig",Condominium,"Condominium,double-bedroom",8.600000000000023,80.0,2.0,3.0,121.064324,14.575822,15000000.0
"Oranbo, Pasig",Condominium,"Condominium,double-bedroom",8.600000000000023,80.0,2.0,3.0,121.064324,14.575822,15000000.0
"Oranbo, Pasig",Condominium,"Condominium,double-bedroom",8.600000000000023,80.0,2.0,3.0,121.064324,14.575822,15000000.0
"Almanza Dos, Las Pinas",House,"House,townhouse",120.0,160.0,3.0,2.0,121.0078767,14.4023926,18000000.0
"Banilad, Nasugbu",Land,"Land,commercial-lot",1215.5,728.0,7.0,7.199999999999999,120.7372793,14.0728316,63000000.0
"Junob, Dumaguete",House,"House,single-family-house",250.0,350.0,2.0,2.0,123.286312,9.301745,11950000.0
"Corong-corong Poblacion, El Nido",Commercial,"Commercial,building",1215.5,2.842170943040401e-14,2.1999999999999997,1.4000000000000001,119.405806,11.151806,100000000.0
"Biaan, Mariveles",Condominium,"Condominium,studio",72.0,36.0,1.0,1.0,120.430798,14.479653,5750000.0
"Fort Bonifacio, Taguig",Condominium,"Condominium,single-bedroom",26.80000000000001,66.0,1.0,1.0,121.050318,14.540867,10400000.0
"Fort Bonifacio, Taguig",Condominium,"Condominium,single-bedroom",26.80000000000001,66.0,1.0,1.0,121.050318,14.540867,10400000.0
"Fort Bonifacio, Taguig",Condominium,"Condominium,single-bedroom",72.0,37.0,1.0,1.0,121.050318,14.540867,7000000.0
"Talon Dos, Las Pinas",House,"House,townhouse",102.0,158.0,4.0,3.0,120.985214,14.438526,9500000.0
Quezon City,Land,"Land,commercial-lot",1215.5,728.0,7.0,7.199999999999999,121.0443089,14.6621443,110503536.64125
"Buho, Silang",Land,"Land,commercial-lot",1215.5,728.0,7.0,7.199999999999999,120.959807,14.14031,110503536.64125
"Talon Singko, Las Pinas",House,"House,townhouse",107.0,150.0,4.0,3.0,120.996723,14.422561,6800000.0
"Guadalupe Nuevo, Makati",Commercial,"Commercial,building",1196.0,735.0,7.0,8.500000000000002,121.04641,14.560995,110503536.64125
"Cabilang Baybay, Carmona",Land,"Land,commercial-lot",1160.0,611.0,4.8,5.199999999999999,121.0428142,14.3197144,78196000.0
"Cabilang Baybay, Carmona",Land,"Land,commercial-lot",1215.5,728.0,7.0,7.199999999999999,121.0428142,14.3197144,94173000.0
"Pilar, Las Pinas",House,"House,townhouse",124.0,257.0,3.0,3.0,121.0080137,14.417168,13800000.0
"San Francisco, Binan",Land,"Land,commercial-lot",1215.5,728.0,7.0,7.199999999999999,121.0555577,14.3336384,100027000.0
"San Francisco, Binan",Land,"Land,commercial-lot",1215.5,728.0,7.0,7.199999999999999,121.0555577,14.3336384,104084000.0
"Cabilang Baybay, Carmona",Land,"Land,commercial-lot",1215.5,728.0,7.0,7.199999999999999,121.0428142,14.3197144,104553000.0
"Molino I, Bacoor",House,"House,single-family-house",90.0,95.0,3.0,2.0,120.9746966,14.421726,6500000.0
"Fort Bonifacio, Taguig",Condominium,"Condominium,other-4",384.4,300.0,5.0,4.0,121.050318,14.540867,110503536.64125
"Cabilang Baybay, Carmona",Land,"Land,commercial-lot",1215.5,728.0,7.0,7.199999999999999,121.0428142,14.3197144,110503536.64125
"Bel-Air, Makati",Condominium,"Condominium,double-bedroom",70.40000000000003,102.0,2.0,2.0,121.026342,14.563933,15500000.0
"Santa Ana, Manila",Land,"Land,residential-lot",914.7,524.0,4.0,4.2,121.0135541,14.5822048,110503536.64125
"Legarda-Burnham-Kisad, Baguio",Condominium,"Condominium,single-bedroom",72.0,36.0,1.0,1.0,120.5941466,16.40385222,5800000.0
"Dolores, Taytay",House,"House,single-family-house",280.0,393.0,5.0,5.0,121.148117,14.573461,27500000.0
"Batasan Hills, Quezon City",House,"House,single-family-house",364.0,735.0,4.0,5.0,121.096563,14.681641,95000000.0
"Matandang Balara, Quezon City",House,"House,single-family-house",364.0,735.0,4.0,5.0,121.082236,14.665648,95000000.0
"Batasan Hills, Quezon City",House,"House,single-family-house",364.0,735.0,4.0,5.0,121.096563,14.681641,95000000.0
"Matandang Balara, Quezon City",House,"House,single-family-house",364.0,735.0,4.0,5.0,121.082236,14.665648,95000000.0
"San Isidro, Cainta",Condominium,"Condominium,studio",22.60000000000008,22.0,1.0,1.0,121.118502,14.613156,4339421.0
"Batasan Hills, Quezon City",House,"House,single-family-house",364.0,735.0,4.0,5.0,121.0443089,14.6621443,95000000.0
"Rockwell, Makati",Condominium,"Condominium,3-bedroom",141.2,225.0,3.0,5.0,121.036339,14.562949,80000000.0
"San Roque, Tarlac",Land,"Land,commercial-lot",500.0,567.9999999999999,4.3999999999999995,5.0,120.597594,15.480135,25000000.0
"Utod, Nasugbu",Land,"Land,beach-lot",564.0,514.0,5.6,5.6000000000000005,120.6294536,14.108254,15228000.0
"Dalig, Teresa",Land,"Land,residential-lot",259.0,321.74,4.8,4.2,121.208606,14.56318,5816500.0
"Tolentino East, Tagaytay",Land,"Land,residential-lot",1215.5,2.842170943040401e-14,2.1999999999999997,1.4000000000000001,120.97934,14.124231,110503536.64125
"Mampalasan, Binan",Land,"Land,residential-lot",473.0,431.2,3.2,4.8,121.0818455,14.3061271,18177200.0
"Leveriza, Pasay",Condominium,"Condominium,single-bedroom",72.0,37.0,1.0,1.0,120.9926571,14.5538047,7741440.0
"Malate, Manila",Condominium,"Condominium,single-bedroom",72.0,36.0,1.0,1.0,120.991585,14.570199,6000000.0
"Latag, Lipa",Land,"Land,residential-lot",1215.5,728.0,7.0,7.199999999999999,121.178772,13.934035,16489200.0
"Barangay II, Silang",House,"House,single-family-house",580.0,735.0,7.0,8.5,120.975714,14.22395,91900000.0
"Barangay II, Silang",House,"House,single-family-house",580.0,735.0,7.0,8.5,120.975714,14.22395,91900000.0
"Fort Bonifacio, Taguig",Condominium,"Condominium,3-bedroom",311.6,281.5,3.0,5.0,121.050318,14.540867,110503536.64125
"San Juan, Taytay",Land,"Land,residential-lot",350.0,391.0,3.0,5.0,121.123722,14.551401,17240600.0
"Buck Estate, Alfonso",House,"House,single-family-house",837.0,540.0,4.0,3.0,120.8527969,14.0892003,40000000.0
"Camp 7, Baguio",Land,"Land,residential-lot",1050.0,729.8,5.0,5.7,120.600513,16.381866,15750000.0
"Fort Bonifacio, Taguig",Condominium,"Condominium,3-bedroom",89.39999999999998,97.53999999999999,3.0,2.0,121.050318,14.540867,21000000.0
"Cararayan, Naga",House,"House,single-family-house",101.0,120.0,2.0,2.0,123.2386637,13.6309832,4500000.0
"Almanza Uno, Las Pinas",House,"House,townhouse",158.0,250.0,4.0,3.0,121.0140532,14.4324914,18300000.0
"Cabilang Baybay, Carmona",Land,"Land,commercial-lot",1160.0,611.0,4.8,5.199999999999999,121.0428142,14.3197144,74333117.6
"Pilar, Las Pinas",House,"House,single-family-house",124.0,257.0,3.0,3.0,121.0080137,14.417168,13800000.0
